client_id;action;timestamp
5b0c57d5a621e09c3036ac07c471dc8e-1;ViewingRessource;2017-03-31 07:10:54+02:00
5b0c57d5a621e09c3036ac07c471dc8e-1;ViewingRessource;2017-03-31 07:10:54+02:00
5b0c57d5a621e09c3036ac07c471dc8e-1;ViewingRessource;2017-03-31 07:10:54+02:00
5de23c8a6f22cbc4368db41f7ec11350-1;ViewingRessource;2017-03-31 05:45:13+02:00
5de23c8a6f22cbc4368db41f7ec11350-1;ViewingRessource;2017-03-31 05:55:19+02:00
5de23c8a6f22cbc4368db41f7ec11350-1;ViewingRessource;2017-03-31 05:59:19+02:00
62f566c4191d66de1098de46f3ff9018-1;ViewingRessource;2017-03-31 07:42:04+02:00
62f566c4191d66de1098de46f3ff9018-1;ViewingRessource;2017-03-31 07:42:04+02:00
62f566c4191d66de1098de46f3ff9018-1;ViewingRessource;2017-03-31 07:42:04+02:00
81d4cabe0d312375ab18a7aa69964e53-1;ViewingRessource;2017-03-31 05:39:36+02:00
81d4cabe0d312375ab18a7aa69964e53-1;ViewingRessource;2017-03-31 05:39:37+02:00
81d4cabe0d312375ab18a7aa69964e53-1;ViewingRessource;2017-03-31 05:39:38+02:00
8b85d8d3706a864b5290478e92eb11eb-1;ViewingRessource;2017-03-31 05:10:14+02:00
8b85d8d3706a864b5290478e92eb11eb-1;ViewingRessource;2017-03-31 05:13:32+02:00
8b85d8d3706a864b5290478e92eb11eb-1;ViewingRessource;2017-03-31 05:13:47+02:00
a421a6854dc9489071a1e1837d44de79-1;ViewingRessource;2017-03-31 06:42:01+02:00
a421a6854dc9489071a1e1837d44de79-1;ViewingRessource;2017-03-31 06:42:05+02:00
a421a6854dc9489071a1e1837d44de79-1;ViewingRessource;2017-03-31 06:42:06+02:00
b427f9e66b81cab7b8ae6192a9bb3b17-1;ViewingRessource;2017-03-31 05:11:02+02:00
b427f9e66b81cab7b8ae6192a9bb3b17-1;ViewingRessource;2017-03-31 05:11:02+02:00
b427f9e66b81cab7b8ae6192a9bb3b17-1;ViewingRessource;2017-03-31 05:11:02+02:00
ba88947b5f208184bd9641b627639ca1-1;ViewingRessource;2017-03-31 07:35:11+02:00
ba88947b5f208184bd9641b627639ca1-1;ViewingRessource;2017-03-31 07:42:34+02:00
ba88947b5f208184bd9641b627639ca1-1;ViewingRessource;2017-03-31 07:48:26+02:00
c1d764744ef7feef03778e6a086314db-1;ViewingRessource;2017-03-31 07:25:02+02:00
c1d764744ef7feef03778e6a086314db-1;ViewingRessource;2017-03-31 07:30:34+02:00
c1d764744ef7feef03778e6a086314db-1;ViewingRessource;2017-03-31 07:49:20+02:00
cb27411651e5433e2254d72d2c8ff199-1;ViewingRessource;2017-03-31 07:29:24+02:00
cb27411651e5433e2254d72d2c8ff199-1;ViewingRessource;2017-03-31 07:29:46+02:00
cb27411651e5433e2254d72d2c8ff199-1;ViewingRessource;2017-03-31 07:36:50+02:00
cd888414b478ca77ce1e49894dfc0908-1;ViewingRessource;2017-03-31 05:11:18+02:00
cd888414b478ca77ce1e49894dfc0908-1;ViewingRessource;2017-03-31 05:11:24+02:00
cd888414b478ca77ce1e49894dfc0908-1;ViewingRessource;2017-03-31 05:19:04+02:00
e0abcf1daf382b8dd97203ffd24555a6-1;ViewingRessource;2017-03-31 07:40:21+02:00
e0abcf1daf382b8dd97203ffd24555a6-1;ViewingRessource;2017-03-31 07:45:54+02:00
e0abcf1daf382b8dd97203ffd24555a6-1;ViewingRessource;2017-03-31 07:45:45+02:00
e47e52203266cc26f6cf2dd92244213e-1;ViewingRessource;2017-03-31 07:24:41+02:00
e47e52203266cc26f6cf2dd92244213e-1;ViewingRessource;2017-03-31 07:24:44+02:00
e47e52203266cc26f6cf2dd92244213e-1;ViewingRessource;2017-03-31 07:24:48+02:00
